scenario,market_regime,withdrawal_rate,sim_years,business_context,failure_probability,survival_probability,average_failure_year,median_ending_balance,p10_ending_balance,p90_ending_balance,average_withdrawn_before_end_or_failure
Guided 3.5% plan,Base market,0.035,30,Lower-risk recommendation for cautious retirees,0.104,0.896,19.94004375254375,566109.0225225629,64792.64772550881,2433415.5602256875,98070.00000000001
Classic 4% rule,Base market,0.04,30,Simple default benchmark for client conversations,0.144,0.856,18.98695620223398,551609.0225225629,50292.647725508825,2418915.5602256875,110026.66666666667
Lifestyle stretch 5%,Base market,0.05,30,Higher spending target with visible downside trade-off,0.198,0.802,17.42128961573406,522609.0225225628,21292.647725508825,2389915.5602256875,133136.66666666666
Early retirement 4%,Base market,0.04,40,Longer planning horizon for younger retirees,0.14933333333333335,0.8506666666666667,21.0421626984127,1116671.4966081362,120004.60050318815,5808987.30139731,145042.66666666666
Volatile 4% stress test,Volatile market,0.04,30,Stress-test view for risk and suitability conversations,0.6486666666666666,0.3513333333333334,15.077692947682669,17704.740796438316,-98574.21064621185,946465.6758202701,78810.66666666667
Volatile 5% stretch,Volatile market,0.05,30,Demonstrates why explainable guardrails matter,0.7113333333333334,0.2886666666666666,13.83552014995314,-11295.259203561684,-127574.21064621185,917465.6758202701,89720.0
Base market 3.0%,Base market,0.03,30,Withdrawal-rate sensitivity sweep,0.06933333333333333,0.9306666666666666,19.483020451770454,578455.4668620753,83092.83350054282,2411637.557260342,84946.0
Base market 3.5%,Base market,0.035,30,Withdrawal-rate sensitivity sweep,0.094,0.906,18.86488235956321,563955.4668620753,68592.83350054281,2397137.557260342,98044.33333333336
Base market 4.0%,Base market,0.04,30,Withdrawal-rate sensitivity sweep,0.128,0.872,18.55634093915344,549455.4668620753,54092.833500542816,2382637.557260342,110440.0
Base market 4.5%,Base market,0.045,30,Withdrawal-rate sensitivity sweep,0.154,0.846,17.764653336081906,534955.4668620753,39592.833500542816,2368137.557260342,122451.0
Base market 5.0%,Base market,0.05,30,Withdrawal-rate sensitivity sweep,0.186,0.8140000000000001,16.968282414518974,520455.46686207526,25092.83350054282,2353637.557260342,133473.33333333334
Base market 5.5%,Base market,0.055,30,Withdrawal-rate sensitivity sweep,0.22066666666666668,0.7793333333333333,16.34584951805496,505955.46686207526,10592.833500542818,2339137.557260342,143693.0
Base market 6.0%,Base market,0.06,30,Withdrawal-rate sensitivity sweep,0.25333333333333335,0.7466666666666666,15.95439640768588,491455.46686207526,-3907.166499457182,2324637.557260342,153588.0
Volatile market 3.0%,Volatile market,0.03,30,Withdrawal-rate sensitivity sweep,0.5706666666666667,0.42933333333333334,16.23818795430945,44587.09041774753,-69017.08054198133,962583.034169168,64436.0
Volatile market 3.5%,Volatile market,0.035,30,Withdrawal-rate sensitivity sweep,0.616,0.384,15.58051604480176,30087.090417747517,-83517.08054198136,948083.034169168,71719.66666666669
Volatile market 4.0%,Volatile market,0.04,30,Withdrawal-rate sensitivity sweep,0.654,0.346,14.945435496658739,15587.090417747531,-98017.08054198133,933583.034169168,78168.0
Volatile market 4.5%,Volatile market,0.045,30,Withdrawal-rate sensitivity sweep,0.6886666666666666,0.31133333333333335,14.27923754206426,1087.0904177475313,-112517.08054198133,919083.034169168,83697.0
Volatile market 5.0%,Volatile market,0.05,30,Withdrawal-rate sensitivity sweep,0.7146666666666667,0.2853333333333333,13.708166755508174,-13412.909582252469,-127017.08054198133,904583.034169168,88940.0
Volatile market 5.5%,Volatile market,0.055,30,Withdrawal-rate sensitivity sweep,0.7393333333333333,0.2606666666666667,13.135836661084634,-27912.90958225247,-141517.08054198133,890083.034169168,93412.0
Volatile market 6.0%,Volatile market,0.06,30,Withdrawal-rate sensitivity sweep,0.7646666666666667,0.23533333333333328,12.6669745782649,-42412.90958225247,-156017.08054198133,875583.034169168,97280.0
